age,income,loan_amount,credit_score,employment_years,num_existing_loans,loan_purpose,property_area,approved
55,98545,278438,441,26,0,car,rural,0
63,47843,293569,380,21,1,personal,semi_urban,1
37,82320,204783,573,18,5,business,urban,0
63,49793,115777,575,34,2,personal,rural,1
54,59516,491527,764,12,0,car,rural,1
29,124407,407641,507,13,5,home,rural,0
46,149045,96549,595,30,4,personal,urban,0
22,37857,98464,338,1,4,car,urban,0
29,39627,443206,587,13,0,home,urban,1
29,81822,111748,423,8,5,personal,semi_urban,1
60,104101,471962,582,9,4,home,urban,0
37,111561,335439,479,6,0,home,urban,1
21,72248,283235,396,27,6,business,urban,1
45,75798,387087,490,24,0,car,urban,0
63,113368,259174,373,27,2,home,semi_urban,0
60,64116,136074,746,1,0,personal,rural,1
62,95318,258890,796,16,6,personal,urban,1
45,124186,55411,783,3,5,home,semi_urban,0
59,147119,439174,415,12,5,education,urban,0
55,107902,263901,834,17,7,personal,urban,1
23,48557,100696,397,2,4,home,semi_urban,0
57,91334,156779,627,32,7,car,semi_urban,1
64,95163,151320,706,23,3,home,rural,0
64,126719,76309,612,7,2,personal,semi_urban,1
50,143099,214394,447,34,5,personal,rural,0
58,98002,449936,641,1,4,home,urban,0
54,62614,151109,794,32,4,personal,urban,1
32,32720,72421,322,11,2,personal,urban,0
39,77608,241436,404,21,7,car,rural,0
57,127449,480083,521,12,2,education,urban,0
64,122828,307756,314,9,7,home,urban,1
37,146613,486247,377,16,4,business,semi_urban,1
30,92095,18450,621,4,6,education,urban,1
32,125924,14491,540,8,3,education,urban,1
36,104694,122026,317,12,6,education,urban,1
44,116452,79804,753,22,1,education,urban,1
39,107593,360437,742,29,6,personal,semi_urban,1
28,55892,124498,576,3,4,education,semi_urban,0
51,126975,243515,723,20,2,business,urban,1
41,97242,405007,775,8,0,education,urban,1
37,136041,372619,326,6,0,home,rural,1
43,146202,295458,813,15,2,business,semi_urban,1
57,97606,319027,763,22,6,education,semi_urban,1
36,143769,492335,662,22,2,education,semi_urban,1
26,138542,354230,682,30,1,business,urban,1
28,126438,201701,824,4,5,home,rural,1
45,20924,368435,681,5,7,car,semi_urban,0
38,71322,247223,483,0,2,home,urban,1
45,46478,14967,493,27,7,education,semi_urban,0
32,91042,217826,761,17,7,personal,urban,1
35,66418,310364,355,23,0,business,urban,0
46,82217,210235,529,12,3,car,rural,0
61,120699,403163,788,32,2,personal,rural,1
46,110140,175491,327,9,1,business,urban,1
52,100846,323275,483,6,7,education,urban,0
30,93762,486930,724,31,3,home,rural,0
36,31781,33876,674,21,1,education,urban,1
27,25515,224516,340,15,3,business,semi_urban,0
37,137358,368592,783,23,2,business,semi_urban,1
43,56133,156043,559,13,7,education,semi_urban,0
46,102508,460755,740,10,0,personal,semi_urban,0
41,117628,234192,383,18,3,home,semi_urban,0
42,96946,316372,345,22,4,home,rural,0
27,105058,259767,739,33,5,business,urban,0
34,29095,341639,818,12,1,home,rural,1
35,108583,257313,737,27,3,home,urban,0
27,40470,33261,435,15,7,car,urban,0
29,63129,111601,482,27,1,education,urban,1
28,28531,66260,471,3,0,education,semi_urban,0
43,57038,479587,838,27,1,home,urban,1
49,107939,483009,419,11,1,business,rural,0
38,62674,401562,580,15,4,business,semi_urban,0
51,147572,494559,607,19,1,car,urban,1
50,114658,494170,576,25,3,car,semi_urban,1
59,102476,61176,829,25,7,personal,rural,0
55,49831,319444,594,21,1,education,semi_urban,0
38,77174,147412,352,8,7,car,urban,0
62,31279,300156,731,4,2,car,rural,0
59,58220,171465,351,16,1,car,semi_urban,1
37,80610,107153,371,33,2,home,urban,1
34,72719,473349,327,1,5,car,urban,0
51,144936,423773,768,6,1,education,semi_urban,1
44,73051,462420,846,12,6,personal,rural,1
55,92013,340417,700,19,5,personal,urban,0
64,76652,379472,500,29,7,car,urban,1
54,85524,377448,765,29,6,personal,rural,0
23,102936,373781,678,10,1,home,urban,1
57,26470,153348,476,30,3,car,rural,1
63,87598,321783,351,2,6,personal,urban,0
60,61798,389083,378,1,2,education,semi_urban,1
46,144517,12310,684,2,7,car,urban,1
43,73473,171239,307,14,5,education,rural,0
64,39880,370088,513,16,5,business,semi_urban,0
59,120117,483096,324,6,2,education,rural,1
35,64439,146463,749,4,4,personal,semi_urban,1
24,140944,127013,756,33,1,business,urban,0
49,34308,186693,760,32,1,personal,urban,1
42,111563,146964,497,15,3,education,semi_urban,0
45,116256,343877,393,2,4,home,semi_urban,1
33,55081,214658,736,20,4,car,rural,1
38,95242,434358,826,7,6,education,urban,0
53,70383,443895,677,21,7,personal,semi_urban,1
36,29837,177687,403,4,3,car,rural,0
62,124135,183625,338,16,5,business,urban,1
64,72151,114264,757,13,2,home,rural,1
22,138128,84071,663,27,5,personal,semi_urban,0
55,56824,177074,434,30,0,car,semi_urban,1
62,53073,389755,673,16,3,car,urban,0
54,132651,75658,531,34,2,personal,urban,1
50,117624,14852,338,21,5,home,urban,0
33,113648,272531,346,28,5,home,rural,0
33,46299,394715,335,9,4,car,rural,0
38,119993,364439,394,17,3,car,urban,0
52,78861,135381,660,34,0,personal,rural,1
52,50063,307138,824,15,1,business,semi_urban,1
55,89453,239484,445,6,3,home,rural,1
59,141768,384056,667,29,7,education,urban,0
49,143299,498630,364,18,0,education,urban,0
49,88472,431941,527,22,7,business,semi_urban,1
64,122166,208754,819,7,0,business,urban,1
36,34506,136632,480,16,7,personal,semi_urban,0
64,114341,391354,800,20,3,car,semi_urban,1
30,99854,323709,454,25,2,home,urban,0
50,133604,268456,834,27,3,car,urban,1
45,46026,416421,734,32,5,education,rural,1
59,47672,393026,398,18,6,personal,urban,0
40,58417,409811,671,28,4,education,urban,0
25,72413,92566,661,19,5,personal,semi_urban,1
21,144044,288473,411,19,0,car,semi_urban,0
50,85066,239750,752,9,0,personal,semi_urban,1
23,79213,335331,468,11,1,home,rural,0
34,70971,80542,438,32,0,home,urban,1
50,47281,113237,530,24,6,home,urban,0
24,133978,381620,538,24,1,personal,rural,0
38,48091,302789,552,3,0,home,rural,0
57,70494,92502,735,3,0,personal,semi_urban,0
45,123864,491598,721,8,3,home,urban,1
21,133755,354454,602,14,3,car,urban,1
35,38610,336763,371,25,4,business,urban,0
29,21079,300657,562,14,5,education,semi_urban,0
35,115386,13749,521,25,2,home,urban,1
44,66751,166855,376,27,4,home,urban,1
24,106126,65645,361,6,0,business,semi_urban,0
32,75432,218933,770,31,4,car,semi_urban,1
57,50951,58175,456,11,3,education,semi_urban,0
57,100863,482432,424,34,5,car,semi_urban,0
63,98291,460925,460,31,0,car,semi_urban,1
26,145659,153395,840,8,7,home,urban,1
59,79872,55762,834,13,0,education,semi_urban,0
44,27235,486436,405,12,4,personal,urban,0
31,102733,69222,430,32,5,home,urban,1
33,82712,432709,656,31,7,personal,semi_urban,1
54,41473,194400,301,18,6,personal,semi_urban,0
45,87567,260539,532,29,1,business,semi_urban,1
27,126818,17213,668,15,6,home,semi_urban,1
24,145849,102367,550,11,7,car,rural,0
28,127399,183002,407,9,7,personal,semi_urban,0
40,144421,163785,575,1,2,home,semi_urban,1
49,99823,112157,479,17,7,home,semi_urban,1
30,124215,470939,592,12,5,personal,urban,1
63,129999,234408,474,28,4,car,urban,0
54,52230,37583,422,23,6,car,semi_urban,0
46,104573,133792,526,11,4,car,urban,1
61,112588,84944,743,28,2,personal,semi_urban,1
23,88876,27369,727,21,0,car,semi_urban,1
26,60644,184000,382,0,0,personal,rural,0
25,68664,467166,364,33,1,education,rural,0
25,65203,382988,580,33,4,car,urban,0
43,86677,24510,690,32,2,car,semi_urban,1
29,45425,17120,727,3,4,home,urban,0
55,143246,104847,406,29,3,education,urban,1
40,104817,103575,847,19,4,car,rural,1
62,127585,396413,561,25,4,business,urban,1
55,105961,272439,458,14,3,car,urban,1
38,120342,25460,564,6,3,car,rural,0
37,145740,19963,767,6,6,car,rural,1
44,117649,344260,501,28,7,personal,rural,0
23,89806,486038,454,22,7,car,rural,0
52,62814,32328,312,33,2,home,semi_urban,1
55,90219,351773,596,19,6,personal,urban,0
58,69646,129034,797,14,0,education,semi_urban,1
33,59884,26605,544,32,1,education,semi_urban,1
45,115345,378045,599,16,6,education,urban,1
29,146062,180885,661,19,3,personal,rural,0
24,120088,182443,653,12,0,car,semi_urban,1
34,138198,113241,820,23,7,home,urban,1
57,89322,314742,685,6,2,personal,urban,1
54,41650,196848,611,7,5,home,urban,0
31,114242,259289,713,22,4,personal,rural,0
61,29190,339402,577,13,2,home,semi_urban,0
23,58196,308113,655,3,2,car,semi_urban,1
48,59449,172984,824,20,3,home,semi_urban,1
49,59661,174446,315,9,1,car,semi_urban,0
29,49709,208374,344,21,6,education,rural,0
23,130965,67784,620,29,3,home,semi_urban,0
45,100428,448098,625,29,4,car,rural,0
54,95179,414144,447,15,3,business,rural,0
32,29943,26274,654,10,4,car,rural,0
62,63240,134994,535,21,3,personal,semi_urban,0
29,65760,301560,404,28,5,business,rural,0
35,41042,222220,773,24,7,business,semi_urban,0
60,141770,197070,695,13,1,personal,rural,1
45,63894,367578,745,13,5,car,rural,0
25,26869,248768,519,1,0,business,rural,0
31,81078,427263,741,12,7,personal,rural,0
54,76759,441572,327,2,7,personal,semi_urban,0
44,125973,173206,774,29,7,home,urban,1
35,64306,465258,604,17,1,business,urban,0
58,128369,318454,704,20,6,personal,rural,1
28,75371,347902,812,18,3,personal,urban,1
25,40918,148435,801,15,7,home,semi_urban,0
46,48379,483365,647,27,2,home,semi_urban,0
38,140667,442779,539,3,0,business,semi_urban,0
26,128475,297772,636,14,7,car,rural,0
57,110810,74672,325,0,2,car,semi_urban,0
33,103232,51246,708,15,7,personal,rural,1
48,22962,409377,376,19,5,home,semi_urban,0
25,33851,499209,516,32,6,car,rural,0
33,137626,94110,627,16,1,car,urban,0
37,65747,490654,322,4,6,car,urban,0
60,145180,269954,609,4,0,car,rural,1
52,72349,195932,566,12,5,home,semi_urban,0
49,90832,213271,714,29,3,home,semi_urban,0
23,76356,76688,566,3,2,education,semi_urban,0
60,34745,332692,632,22,3,business,urban,0
54,25730,198435,749,20,4,car,semi_urban,0
60,33921,278306,546,20,6,home,urban,0
47,118430,355002,335,5,0,home,semi_urban,0
33,91138,78535,700,23,2,personal,semi_urban,1
53,103111,405435,327,30,1,business,semi_urban,0
26,39023,75864,519,18,7,car,semi_urban,1
44,65349,139693,705,11,1,home,rural,1
39,146796,123371,570,13,1,education,semi_urban,1
36,101533,94792,810,11,5,personal,rural,0
60,103286,180505,585,14,1,car,semi_urban,1
48,61979,475066,753,18,2,education,semi_urban,1
53,42837,262416,616,27,7,personal,urban,0
61,34997,71188,596,4,6,business,urban,1
33,124975,191023,637,4,6,home,semi_urban,1
63,108603,348862,606,5,6,business,urban,0
45,65039,243188,727,22,5,car,rural,1
62,147394,41558,650,2,4,personal,semi_urban,1
56,40923,133938,810,32,1,education,rural,0
47,28876,151731,824,20,6,car,rural,0
58,80973,301557,791,19,1,education,urban,1
27,22887,277579,308,0,7,car,urban,0
25,83723,255272,796,16,7,home,semi_urban,1
63,62422,452127,739,28,5,car,urban,0
51,122390,33067,407,7,1,car,urban,1
43,71413,92794,544,25,4,home,rural,0
62,122484,360967,554,27,5,business,rural,0
30,22841,336368,332,33,5,home,rural,0
52,144647,471441,322,25,0,car,semi_urban,1
63,48756,6379,348,12,5,home,semi_urban,0
50,91576,369691,761,12,1,car,semi_urban,1
59,138248,113541,635,24,5,car,semi_urban,1
51,30304,425840,657,22,1,car,semi_urban,0
38,50341,489716,421,21,1,home,urban,1
56,24758,224499,743,20,6,home,rural,0
22,37010,119634,658,29,5,personal,rural,0
34,147039,258579,645,10,0,education,semi_urban,1
33,80758,395845,492,3,1,car,rural,1
49,51658,324889,715,32,6,home,urban,1
32,69002,450021,676,11,0,personal,urban,0
59,123318,108915,762,8,0,home,rural,0
22,21375,410732,445,31,5,business,rural,0
52,119485,215494,777,10,3,car,semi_urban,1
33,42092,221915,707,23,6,car,urban,1
47,20490,134560,585,6,3,personal,rural,0
61,23729,160915,410,7,1,personal,urban,1
37,25974,141984,349,32,2,car,semi_urban,1
60,138222,157586,313,24,3,car,urban,0
51,105216,223431,433,0,6,car,rural,1
54,103860,193104,642,2,5,business,semi_urban,1
44,147288,427013,585,27,6,education,rural,0
55,116870,142521,613,32,5,home,urban,0
26,41398,137797,596,0,3,home,urban,0
39,54650,348550,463,26,2,home,rural,0
50,41292,14304,796,34,4,home,urban,1
27,121291,471274,315,9,1,home,semi_urban,1
30,123889,130555,643,11,6,education,urban,1
61,23159,411879,377,9,4,home,rural,0
52,118162,337464,645,33,4,car,urban,1
54,82766,473224,371,23,0,education,semi_urban,0
48,114887,99488,569,27,0,home,semi_urban,1
35,122834,263490,586,21,1,home,semi_urban,1
50,37065,342735,365,15,2,home,urban,1
57,41638,362188,367,12,0,home,semi_urban,0
49,21073,148748,492,22,6,personal,semi_urban,0
42,66511,292336,354,13,6,education,urban,0
24,104307,266602,678,31,3,home,semi_urban,1
40,145274,422938,467,2,6,car,rural,0
52,120997,143518,708,26,1,home,urban,1
56,127866,386448,807,18,5,education,semi_urban,1
24,49320,402941,836,21,4,car,semi_urban,0
47,89876,221669,401,0,6,car,urban,0
37,54924,93207,721,4,1,car,urban,1
32,101720,193704,777,32,5,home,semi_urban,1
42,60734,203017,419,18,5,personal,rural,0
37,88116,78741,590,5,0,personal,urban,1
30,60025,21365,787,14,5,business,rural,1
21,114503,332936,460,32,2,home,semi_urban,1
42,22159,200929,377,23,5,personal,urban,0
46,68940,252481,337,26,5,personal,semi_urban,0
38,99436,151776,693,10,4,business,rural,1
34,96976,317719,740,22,2,home,urban,1
49,34678,165974,839,32,1,personal,semi_urban,0
32,81075,386785,761,28,2,home,semi_urban,1
56,67204,237366,593,30,2,education,urban,0
55,32021,399411,699,0,1,car,urban,1
32,26772,255319,391,33,4,personal,urban,0
27,87163,320661,305,17,6,personal,urban,0
49,129968,39012,570,17,7,car,urban,1
31,93755,147487,398,5,5,car,rural,0
53,43464,437750,825,0,2,home,rural,0
26,71137,26686,493,29,2,car,urban,1
35,50232,213270,456,3,6,car,semi_urban,0
52,81497,164815,414,31,1,home,urban,1
31,128017,37161,695,9,3,personal,urban,1
43,94024,459529,821,4,6,home,urban,1
46,120485,252066,513,8,2,education,urban,1
54,129898,244689,832,4,0,personal,rural,1
54,71448,269546,314,10,5,business,urban,0
49,125468,68190,718,34,5,personal,semi_urban,1
24,104517,251256,667,26,6,home,urban,0
37,20901,450767,512,3,4,personal,urban,0
55,107980,280419,304,9,6,home,rural,0
33,127594,164254,530,32,2,business,urban,0
61,103597,19915,500,7,1,personal,rural,0
59,22881,268053,701,23,0,personal,urban,0
35,49863,381254,448,32,6,home,semi_urban,0
49,131362,70908,791,18,1,education,rural,1
49,25622,132337,525,1,6,personal,urban,0
31,142740,289764,468,10,2,personal,semi_urban,1
52,21378,39112,451,34,0,home,rural,0
22,103168,210123,523,16,4,business,urban,0
34,113847,7431,803,2,4,home,semi_urban,1
40,91186,91590,849,21,6,education,urban,1
42,65201,329319,343,34,7,education,urban,0
31,140767,122472,803,20,4,home,urban,1
47,127760,299768,540,24,7,home,rural,1
23,79251,212193,650,1,7,personal,urban,0
37,92572,66264,322,0,3,car,urban,0
64,59255,380910,342,6,1,home,semi_urban,0
48,83212,168030,765,19,2,personal,urban,1
49,70210,399911,339,5,0,personal,semi_urban,1
41,145629,367355,602,20,6,education,urban,1
36,136736,124502,474,34,6,home,semi_urban,0
57,42499,448148,831,7,5,home,semi_urban,0
40,122552,235395,760,3,5,personal,urban,0
26,71628,311369,492,15,1,education,urban,1
39,81360,137475,543,2,2,education,semi_urban,1
25,24603,481562,579,6,3,personal,rural,0
23,113309,210463,335,1,2,car,urban,1
21,147466,174708,839,0,1,home,urban,0
58,105473,277983,453,0,2,business,urban,1
35,32632,463762,322,6,5,car,semi_urban,0
54,50607,240706,390,23,5,education,rural,0
55,111873,183901,689,4,0,business,urban,1
45,85756,145302,658,20,3,business,urban,1
44,66994,56977,849,27,5,education,urban,0
32,83382,438448,527,17,0,home,urban,1
38,90354,380194,501,23,3,business,semi_urban,0
35,76344,499523,649,31,5,education,rural,0
64,73775,230864,337,32,3,car,urban,1
36,27349,30651,799,9,7,education,rural,1
47,91154,102919,342,8,2,car,urban,1
28,47464,307107,816,32,0,personal,rural,1
45,62624,191944,367,32,3,car,semi_urban,0
37,141897,122776,422,6,6,personal,urban,1
49,146866,346342,635,3,3,personal,rural,1
28,57344,149811,452,27,2,personal,urban,1
35,145857,135697,461,22,5,personal,semi_urban,0
47,103791,330438,513,31,5,personal,rural,0
27,44299,184428,675,15,6,car,urban,0
23,67975,6789,742,9,1,home,semi_urban,0
49,21462,417636,722,13,1,personal,rural,0
64,140209,356441,837,33,5,car,rural,1
44,101441,241974,529,23,7,home,semi_urban,0
23,110456,266413,358,17,6,home,urban,1
40,101788,173678,395,15,4,home,semi_urban,0
35,126540,436856,561,24,4,personal,semi_urban,1
45,60581,385485,653,7,6,personal,semi_urban,0
50,120372,49135,611,23,3,home,rural,0
34,91289,42067,435,19,5,personal,urban,0
27,125541,456636,772,29,1,home,urban,1
37,34175,284501,729,19,3,personal,semi_urban,0
64,141704,175923,836,17,0,car,rural,1
40,26191,305406,445,3,6,personal,semi_urban,0
56,103434,212925,823,5,6,car,rural,0
29,104518,325787,386,2,7,car,rural,0
58,100158,419750,408,17,1,personal,rural,0
42,86537,358414,722,17,1,home,rural,1
22,135721,499649,644,22,1,business,rural,1
44,67645,168944,565,34,6,education,rural,0
28,128536,405905,793,5,4,car,semi_urban,1
31,43283,74103,632,25,2,education,urban,0
33,143153,353412,712,20,7,home,urban,0
37,106971,91310,490,23,2,car,urban,1
28,112759,486947,441,14,7,business,urban,0
41,79123,42412,372,26,6,home,urban,0
38,122780,314878,466,31,4,personal,rural,1
50,50024,354937,467,11,7,car,semi_urban,0
38,69630,206002,558,4,5,education,urban,1
51,50734,27228,738,6,5,home,rural,1
58,20515,125627,410,21,6,car,semi_urban,0
52,130782,345068,830,26,6,business,urban,1
31,86727,16319,589,14,4,home,rural,0
45,117800,11475,809,34,4,education,urban,1
53,129164,233163,474,25,5,education,semi_urban,0
58,66216,481910,601,22,2,education,urban,0
61,91833,150800,484,12,3,education,semi_urban,0
28,78755,246382,638,25,4,car,rural,0
31,47856,296689,809,2,3,home,urban,0
42,134959,363780,609,28,3,business,rural,1
44,93870,479902,806,1,0,personal,urban,1
61,44162,496966,645,27,2,home,semi_urban,0
37,26008,234484,380,22,7,car,rural,0
32,27987,197828,673,5,6,personal,rural,0
52,82532,204847,455,10,3,business,urban,1
35,116502,436915,731,33,6,business,urban,1
36,23332,435037,799,16,6,personal,semi_urban,0
42,86323,297759,446,2,2,home,urban,1
48,58990,280890,780,33,2,business,semi_urban,1
40,29873,484673,734,21,0,personal,rural,0
53,102542,158817,818,28,7,car,semi_urban,1
30,105761,268389,368,28,6,car,urban,0
60,56444,122408,485,4,5,car,semi_urban,0
52,55340,117143,503,9,7,education,rural,1
53,125219,423069,312,9,7,home,semi_urban,0
22,25033,294776,573,8,2,home,semi_urban,0
53,93324,280000,597,20,3,home,urban,1
53,35689,192965,350,12,5,car,urban,0
61,129756,468857,799,9,5,home,urban,1
33,107134,237298,668,10,1,personal,semi_urban,1
50,123016,73049,656,3,3,home,urban,0
53,115239,325326,302,30,3,business,semi_urban,0
33,20066,401017,553,33,2,personal,semi_urban,0
46,134159,233953,774,34,3,business,semi_urban,1
42,65246,215503,805,32,7,personal,urban,1
59,27533,175821,555,7,6,home,rural,1
22,100639,209829,449,31,1,car,semi_urban,0
58,90152,322798,787,32,2,home,urban,1
59,131581,207646,578,7,4,business,urban,1
46,135828,495783,358,13,3,car,semi_urban,0
35,79658,322525,745,33,3,education,urban,0
54,58498,63601,412,7,0,personal,urban,1
62,129028,151154,788,6,4,business,urban,1
64,31772,150720,706,12,4,personal,urban,0
60,109385,267508,666,20,6,education,rural,0
31,69036,170640,359,31,1,car,semi_urban,0
23,78531,477862,628,10,6,education,semi_urban,1
26,139159,469710,768,13,4,home,rural,1
29,32940,210704,362,10,6,personal,semi_urban,0
26,138027,274580,483,1,7,car,semi_urban,0
29,36932,353857,610,33,6,home,urban,1
59,115305,424970,837,16,0,business,semi_urban,1
51,76827,327338,476,13,7,car,urban,0
52,81431,29544,728,24,1,personal,semi_urban,1
61,44648,458396,372,26,6,personal,urban,0
32,132947,68295,466,7,6,personal,urban,1
28,52966,410854,524,16,4,home,urban,0
28,47777,201787,308,4,1,home,urban,0
48,144661,74409,535,11,7,personal,rural,1
40,52567,254720,327,17,4,personal,urban,0
27,135259,481322,326,25,4,car,rural,1
31,37174,131839,849,30,6,car,semi_urban,0
40,62598,380903,495,5,5,home,semi_urban,0
36,144711,284301,502,14,4,business,urban,1
24,79199,181637,384,25,6,home,rural,0
26,33798,206068,329,11,3,home,urban,0
42,85364,70888,765,13,4,education,semi_urban,1
46,37558,192167,398,0,3,home,semi_urban,0
23,81084,332091,489,16,7,business,semi_urban,0
61,64237,485338,311,32,2,home,urban,0
62,85497,338024,329,28,5,home,semi_urban,0
34,20178,9507,337,30,7,car,rural,0
31,136932,370278,593,7,0,car,rural,1
38,106006,48988,659,29,1,home,rural,1
32,37118,365565,479,12,1,car,urban,0
43,42616,152937,411,15,2,car,urban,0
32,20798,369735,743,1,4,personal,urban,0
33,27601,396758,320,17,0,home,rural,0
45,45363,32213,444,34,2,business,urban,0
39,22795,454170,798,18,2,education,semi_urban,0
56,117462,62450,445,12,1,home,rural,1
28,65264,402693,740,3,3,home,semi_urban,0
49,122892,67222,720,18,7,car,semi_urban,1
52,92833,404749,615,24,7,home,urban,0
64,149688,447611,465,30,3,car,semi_urban,0
38,23084,159468,502,3,4,home,rural,0
26,115865,17755,795,6,4,education,semi_urban,1
38,96646,136937,767,15,6,education,urban,1
39,20731,147245,684,4,6,home,urban,0
42,21129,194977,613,22,7,car,urban,0
57,48022,174169,554,31,2,personal,semi_urban,0
52,21605,300515,322,23,4,home,urban,0
61,97506,240132,638,24,3,personal,semi_urban,0
23,129241,409470,792,27,7,education,semi_urban,0
48,64130,140090,810,18,0,business,rural,1
30,49265,272336,665,6,1,home,urban,0
55,52330,269159,671,16,3,business,rural,0
49,88469,375298,518,1,6,education,semi_urban,1
35,35187,204988,774,15,5,education,urban,1
53,45791,33343,722,17,4,car,rural,1
27,110436,336450,655,0,1,home,urban,0
32,90610,10829,759,2,5,business,semi_urban,1
50,132341,39381,802,20,7,education,urban,1
41,111962,378595,326,29,1,home,semi_urban,1
51,59867,217153,522,10,2,home,semi_urban,1
44,136178,285407,447,21,7,home,urban,0
40,20893,239748,723,24,4,education,semi_urban,0
57,119694,451476,650,2,2,education,semi_urban,0
24,39773,441522,485,29,7,car,rural,0
48,24239,489427,714,23,1,car,urban,0
64,40863,325562,728,22,2,car,urban,0
40,71415,226970,340,7,7,car,semi_urban,0
44,88968,5148,692,3,7,home,urban,1
52,120675,399970,378,30,4,home,semi_urban,0
61,80430,293889,843,28,3,home,urban,1
56,139000,77914,749,12,0,business,urban,1
54,21515,454049,773,8,5,personal,rural,0
56,117206,418356,441,20,3,business,rural,0
22,134210,473123,550,2,7,car,semi_urban,0
35,124630,65653,593,24,1,personal,rural,0
54,34605,228607,435,24,7,education,semi_urban,0
56,76240,197593,783,11,3,car,semi_urban,0
26,25586,345459,611,28,2,home,rural,0
59,121221,298219,345,10,4,personal,semi_urban,0
62,140419,428913,535,10,3,business,semi_urban,0
32,142374,452760,347,25,3,home,semi_urban,0
23,134205,14795,497,13,4,home,rural,1
38,51186,69555,383,15,2,education,urban,0
60,46928,450420,842,9,0,business,urban,0
41,118264,240068,460,30,3,personal,urban,1
35,103087,467970,727,30,5,home,urban,1
53,142990,463076,370,9,1,car,urban,0
55,107029,108107,819,25,6,car,rural,1
46,40711,318673,351,19,2,personal,semi_urban,0
28,74962,409888,344,8,7,personal,urban,0
56,40039,452454,592,14,2,education,rural,0
50,56561,232650,764,8,3,home,semi_urban,0
43,95483,172022,849,6,5,business,semi_urban,1
62,117871,16009,679,25,6,education,urban,1
64,101395,183168,777,23,7,business,rural,0
34,108658,155616,561,11,4,education,urban,0
34,21577,453944,478,19,6,personal,urban,0
22,127792,34381,656,13,3,personal,urban,1
57,48350,394913,718,21,3,car,semi_urban,0
25,136908,423503,500,15,4,business,semi_urban,0
58,127468,331754,312,28,1,home,urban,1
61,53798,73122,742,31,4,personal,urban,0
34,117434,335328,585,18,3,business,semi_urban,1
59,101417,438297,557,34,0,car,semi_urban,0
45,30785,219709,847,31,4,education,urban,0
40,92227,443528,789,19,7,education,rural,0
22,138680,92228,797,19,1,personal,rural,1
59,81957,340087,632,7,4,personal,urban,1
26,85431,481006,331,34,4,education,semi_urban,0
37,37297,85770,342,12,2,personal,urban,0
45,91894,57726,650,5,2,car,semi_urban,1
48,136869,420427,633,15,3,home,semi_urban,1
22,83772,427696,569,4,7,car,urban,0
55,39581,314924,712,33,3,education,rural,0
57,75192,193210,318,5,6,home,rural,0
25,21462,226454,646,32,7,education,urban,0
21,148848,309647,336,14,4,car,urban,1
60,84173,325037,391,14,0,personal,urban,0
32,35511,182265,484,13,5,home,semi_urban,0
56,96106,250074,327,4,3,education,rural,1
43,68665,328502,847,25,4,education,semi_urban,0
51,64414,85857,671,16,4,business,semi_urban,0
31,101010,476398,829,15,5,personal,rural,1
30,92573,387601,644,34,4,personal,semi_urban,1
23,113665,420333,718,22,5,business,semi_urban,1
34,127803,264405,495,12,5,education,semi_urban,1
36,139682,195128,377,32,6,home,rural,1
30,33386,122928,466,28,4,personal,urban,0
49,144069,63706,389,33,6,personal,urban,1
30,74460,468645,563,33,4,car,urban,0
32,26221,407692,771,26,2,personal,rural,1
50,43474,349950,507,14,5,personal,semi_urban,0
61,126073,60006,570,8,1,business,urban,0
21,135375,92238,562,25,5,business,rural,0
25,132660,253018,805,2,1,car,rural,1
40,41045,468134,811,4,4,car,rural,0
28,111319,199227,823,19,3,home,urban,1
63,136582,465537,611,19,0,home,rural,1
32,125693,312942,473,4,6,personal,urban,1
21,24922,82271,730,9,4,car,urban,1
40,131943,297321,762,15,0,education,urban,1
48,42706,494464,400,24,2,education,semi_urban,0
63,62771,395166,315,24,1,personal,urban,1
57,72335,397300,557,29,6,home,semi_urban,0
57,118015,349359,543,13,2,car,rural,0
32,72949,48013,647,21,3,car,urban,0
57,90714,499117,548,27,3,car,urban,1
64,115558,87600,404,29,5,business,urban,0
48,35240,363243,586,18,6,personal,rural,0
35,111756,320594,468,19,6,car,urban,0
26,122272,496844,719,34,6,personal,semi_urban,0
64,22716,446144,346,21,4,car,urban,0
40,36574,389784,342,14,7,personal,rural,0
34,131815,359547,620,10,7,home,urban,1
22,103255,443598,520,33,5,personal,semi_urban,1
29,93717,104290,812,23,3,car,semi_urban,0
57,131299,221110,740,5,3,home,rural,1
40,64066,136832,443,16,5,home,urban,1
46,135066,29142,327,27,2,car,semi_urban,0
49,81826,377333,466,30,0,personal,urban,1
21,40213,374676,548,8,1,home,rural,0
55,91916,415506,656,9,3,education,semi_urban,0
26,86151,469251,410,20,5,personal,semi_urban,1
57,148518,136436,533,33,3,education,semi_urban,1
25,137018,324065,323,30,2,personal,urban,1
53,149024,286941,325,28,6,home,urban,0
34,70906,242403,680,10,6,education,semi_urban,0
32,20463,37535,645,32,7,business,rural,1
62,51973,313444,677,0,1,education,urban,1
40,94694,314320,821,20,7,education,rural,1
44,40651,21105,316,22,6,personal,urban,0
63,88694,144011,544,8,6,car,rural,1
54,40008,84472,838,0,2,personal,urban,1
45,131738,178101,501,20,7,business,urban,0
49,90474,151935,547,21,0,home,semi_urban,1
59,58185,83097,417,3,2,personal,semi_urban,1
