id,review,sentiment,topic
455,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
456,"In my experience, Management style differs across departments.",Neutral,Management
457,"Overall, The technology stack is outdated and slow.",Negative,Technology
458,"Generally speaking, Excellent collaboration across teams.",Positive,Culture
459,"For the most part, Promotion paths are not well defined.",Negative,Growth
460,"In some cases, Helpful perks like flexible hours and leave.",Positive,Perks
461,"Overall, Management communication is weak.",Negative,Management
462,"In my experience, Management style differs across departments.",Neutral,Management
463,"In some cases, Projects use modern cloud and automation tools.",Positive,Technology
464,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
465,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
466,"In some cases, Perks are standard and adequate.",Neutral,Perks
467,"From my team’s perspective, Great work culture with supportive teammates.",Positive,Culture
468,"For the most part, Management communication is weak.",Negative,Management
469,"In my experience, Legacy systems make daily work harder.",Negative,Technology
470,"Compared with peers, Raises are small and infrequent.",Negative,Salary
471,"For the most part, Helpful perks like flexible hours and leave.",Positive,Perks
472,"Generally speaking, Management style differs across departments.",Neutral,Management
473,"For the most part, Modern technology stack and useful tools.",Positive,Technology
474,"Overall, Great work culture with supportive teammates.",Positive,Culture
475,"For the most part, Promotion paths are not well defined.",Negative,Growth
476,"For the most part, The technology stack is outdated and slow.",Negative,Technology
477,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
478,"In some cases, Salary is average for the industry.",Neutral,Salary
479,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
480,"At times, Team morale is low in some departments.",Negative,Culture
481,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
482,"Compared with peers, Growth opportunities depend on the project.",Neutral,Growth
483,"Generally speaking, Promotion paths are not well defined.",Negative,Growth
484,"In some cases, Perks are minimal compared to other companies.",Negative,Perks
485,"For the most part, Raises are small and infrequent.",Negative,Salary
486,"For the most part, Learning is available, but mostly self-driven.",Neutral,Growth
487,"Generally speaking, Salary is average for the industry.",Neutral,Salary
488,"In my experience, Some tools are modern while others are legacy.",Neutral,Technology
489,"In my experience, Some tools are modern while others are legacy.",Neutral,Technology
490,"From my team’s perspective, Modern technology stack and useful tools.",Positive,Technology
491,"For the most part, Legacy systems make daily work harder.",Negative,Technology
492,"At times, Work culture varies by team.",Neutral,Culture
493,"Overall, Management style differs across departments.",Neutral,Management
494,"Compared with peers, Raises are small and infrequent.",Negative,Salary
495,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
496,"In my experience, Management is approachable and supportive.",Positive,Management
497,"For the most part, Management style differs across departments.",Neutral,Management
498,"Generally speaking, Helpful perks like flexible hours and leave.",Positive,Perks
499,"Generally speaking, The technology stack is outdated and slow.",Negative,Technology
500,"In my experience, Salary is below market expectations.",Negative,Salary
501,"For the most part, Strong learning opportunities and skill growth.",Positive,Growth
502,"In some cases, Promotion paths are not well defined.",Negative,Growth
503,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
504,"At times, Salary is competitive and fair.",Positive,Salary
505,"Generally speaking, Promotion paths are not well defined.",Negative,Growth
506,"Overall, Excellent collaboration across teams.",Positive,Culture
507,"At times, Promotion paths are not well defined.",Negative,Growth
508,"In some cases, Perks are standard and adequate.",Neutral,Perks
509,"At times, Management is approachable and supportive.",Positive,Management
510,"In my experience, The technology stack is outdated and slow.",Negative,Technology
511,"In my experience, Management communication is weak.",Negative,Management
512,"Overall, Some tools are modern while others are legacy.",Neutral,Technology
513,"Overall, Excellent collaboration across teams.",Positive,Culture
514,"From my team’s perspective, Management communication is weak.",Negative,Management
515,"In my experience, Management style differs across departments.",Neutral,Management
516,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
517,"Compared with peers, Management is approachable and supportive.",Positive,Management
518,"Generally speaking, The technology stack is a mix of old and new tools.",Neutral,Technology
519,"For the most part, Work-life balance is fine most weeks.",Neutral,Culture
520,"Generally speaking, Work culture varies by team.",Neutral,Culture
521,"Overall, Strong learning opportunities and skill growth.",Positive,Growth
522,"Compared with peers, Salary is average for the industry.",Neutral,Salary
523,"In some cases, Some tools are modern while others are legacy.",Neutral,Technology
524,"Generally speaking, Some tools are modern while others are legacy.",Neutral,Technology
525,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
526,"Compared with peers, Salary is competitive and fair.",Positive,Salary
527,"In some cases, Management is approachable and supportive.",Positive,Management
528,"In some cases, Work-life balance is fine most weeks.",Neutral,Culture
529,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
530,"From my team’s perspective, Management communication is weak.",Negative,Management
531,"In my experience, Compensation is acceptable for the role.",Neutral,Salary
532,"From my team’s perspective, The technology stack is outdated and slow.",Negative,Technology
533,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
534,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
535,"For the most part, Raises are small and infrequent.",Negative,Salary
536,"Generally speaking, Management communication is weak.",Negative,Management
537,"In some cases, Management is approachable and supportive.",Positive,Management
538,"In my experience, Salary is competitive and fair.",Positive,Salary
539,"Compared with peers, Raises are small and infrequent.",Negative,Salary
540,"Overall, The technology stack is outdated and slow.",Negative,Technology
541,"Generally speaking, Clear opportunities to learn and advance.",Positive,Growth
542,"At times, Great work culture with supportive teammates.",Positive,Culture
543,"Compared with peers, Management style differs across departments.",Neutral,Management
544,"Overall, Clear opportunities to learn and advance.",Positive,Growth
545,"Compared with peers, Team morale is low in some departments.",Negative,Culture
546,"For the most part, Great work culture with supportive teammates.",Positive,Culture
547,"Compared with peers, Raises are small and infrequent.",Negative,Salary
548,"In my experience, Career growth is limited and unclear.",Negative,Growth
549,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
550,"In my experience, Legacy systems make daily work harder.",Negative,Technology
551,"Generally speaking, Helpful perks like flexible hours and leave.",Positive,Perks
552,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
553,"At times, Team morale is low in some departments.",Negative,Culture
554,"Generally speaking, Great work culture with supportive teammates.",Positive,Culture
555,"In my experience, Excellent collaboration across teams.",Positive,Culture
556,"Compared with peers, Management style differs across departments.",Neutral,Management
557,"From my team’s perspective, Some tools are modern while others are legacy.",Neutral,Technology
558,"For the most part, The technology stack is a mix of old and new tools.",Neutral,Technology
559,"At times, Some tools are modern while others are legacy.",Neutral,Technology
560,"For the most part, Strong learning opportunities and skill growth.",Positive,Growth
561,"Overall, Excellent collaboration across teams.",Positive,Culture
562,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
563,"For the most part, Legacy systems make daily work harder.",Negative,Technology
564,"In my experience, Work culture feels stressful and inconsistent.",Negative,Culture
565,"In some cases, Excellent collaboration across teams.",Positive,Culture
566,"In my experience, Learning is available, but mostly self-driven.",Neutral,Growth
567,"In my experience, Management is approachable and supportive.",Positive,Management
568,"Compared with peers, Legacy systems make daily work harder.",Negative,Technology
569,"For the most part, Projects use modern cloud and automation tools.",Positive,Technology
570,"In some cases, The technology stack is a mix of old and new tools.",Neutral,Technology
571,"In my experience, Salary is below market expectations.",Negative,Salary
572,"For the most part, Perks are minimal compared to other companies.",Negative,Perks
573,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
574,"From my team’s perspective, Some tools are modern while others are legacy.",Neutral,Technology
575,"At times, Perks are standard and adequate.",Neutral,Perks
576,"From my team’s perspective, Legacy systems make daily work harder.",Negative,Technology
577,"In my experience, Helpful perks like flexible hours and leave.",Positive,Perks
578,"For the most part, The technology stack is outdated and slow.",Negative,Technology
579,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
580,"Overall, Learning is available, but mostly self-driven.",Neutral,Growth
581,"In my experience, Salary is average for the industry.",Neutral,Salary
582,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
583,"In some cases, Promotion paths are not well defined.",Negative,Growth
584,"Generally speaking, Salary is below market expectations.",Negative,Salary
585,"From my team’s perspective, Some tools are modern while others are legacy.",Neutral,Technology
586,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
587,"From my team’s perspective, Good performance bonuses and benefits.",Positive,Salary
588,"For the most part, Salary is below market expectations.",Negative,Salary
589,"Generally speaking, Team morale is low in some departments.",Negative,Culture
590,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
591,"Compared with peers, Management is approachable and supportive.",Positive,Management
592,"Compared with peers, The technology stack is a mix of old and new tools.",Neutral,Technology
593,"Compared with peers, Work culture feels stressful and inconsistent.",Negative,Culture
594,"From my team’s perspective, Great work culture with supportive teammates.",Positive,Culture
595,"In my experience, The technology stack is outdated and slow.",Negative,Technology
596,"In some cases, Good performance bonuses and benefits.",Positive,Salary
597,"Compared with peers, Modern technology stack and useful tools.",Positive,Technology
598,"At times, Management style differs across departments.",Neutral,Management
599,"Generally speaking, Work-life balance is fine most weeks.",Neutral,Culture
600,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
601,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
602,"Compared with peers, Growth opportunities depend on the project.",Neutral,Growth
603,"Generally speaking, Helpful perks like flexible hours and leave.",Positive,Perks
604,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
605,"In some cases, Work culture feels stressful and inconsistent.",Negative,Culture
606,"Compared with peers, Helpful perks like flexible hours and leave.",Positive,Perks
607,"Overall, Management style differs across departments.",Neutral,Management
608,"At times, Promotion paths are not well defined.",Negative,Growth
609,"In my experience, Helpful perks like flexible hours and leave.",Positive,Perks
610,"From my team’s perspective, Excellent collaboration across teams.",Positive,Culture
611,"In my experience, Learning is available, but mostly self-driven.",Neutral,Growth
612,"In some cases, Great work culture with supportive teammates.",Positive,Culture
613,"Compared with peers, Management is approachable and supportive.",Positive,Management
614,"In some cases, Growth opportunities depend on the project.",Neutral,Growth
615,"Overall, Salary is below market expectations.",Negative,Salary
616,"Generally speaking, Management is approachable and supportive.",Positive,Management
617,"For the most part, The technology stack is outdated and slow.",Negative,Technology
618,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
619,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
620,"Generally speaking, Legacy systems make daily work harder.",Negative,Technology
621,"Generally speaking, Perks are standard and adequate.",Neutral,Perks
622,"Compared with peers, Management style differs across departments.",Neutral,Management
623,"From my team’s perspective, Raises are small and infrequent.",Negative,Salary
624,"Generally speaking, Salary is average for the industry.",Neutral,Salary
625,"At times, Clear opportunities to learn and advance.",Positive,Growth
626,"Generally speaking, Learning is available, but mostly self-driven.",Neutral,Growth
627,"In some cases, Clear opportunities to learn and advance.",Positive,Growth
628,"Overall, Strong learning opportunities and skill growth.",Positive,Growth
629,"At times, Work culture feels stressful and inconsistent.",Negative,Culture
630,"In some cases, Management is approachable and supportive.",Positive,Management
631,"In some cases, Strong learning opportunities and skill growth.",Positive,Growth
632,"Generally speaking, Promotion paths are not well defined.",Negative,Growth
633,"For the most part, Salary is average for the industry.",Neutral,Salary
634,"Compared with peers, Legacy systems make daily work harder.",Negative,Technology
635,"In some cases, Work-life balance is fine most weeks.",Neutral,Culture
636,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
637,"Compared with peers, Management style differs across departments.",Neutral,Management
638,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
639,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
640,"From my team’s perspective, Career growth is limited and unclear.",Negative,Growth
641,"Generally speaking, Growth opportunities depend on the project.",Neutral,Growth
642,"From my team’s perspective, Management is approachable and supportive.",Positive,Management
643,"In some cases, Clear opportunities to learn and advance.",Positive,Growth
644,"Compared with peers, Compensation is acceptable for the role.",Neutral,Salary
645,"From my team’s perspective, The technology stack is a mix of old and new tools.",Neutral,Technology
646,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
647,"Generally speaking, Perks are standard and adequate.",Neutral,Perks
648,"From my team’s perspective, Projects use modern cloud and automation tools.",Positive,Technology
649,"For the most part, Perks are standard and adequate.",Neutral,Perks
650,"At times, Clear opportunities to learn and advance.",Positive,Growth
651,"At times, Projects use modern cloud and automation tools.",Positive,Technology
652,"In my experience, Salary is below market expectations.",Negative,Salary
653,"In my experience, Team morale is low in some departments.",Negative,Culture
654,"Overall, The technology stack is outdated and slow.",Negative,Technology
655,"In some cases, The technology stack is a mix of old and new tools.",Neutral,Technology
656,"Generally speaking, Team morale is low in some departments.",Negative,Culture
657,"Compared with peers, Perks are minimal compared to other companies.",Negative,Perks
658,"In my experience, Salary is competitive and fair.",Positive,Salary
659,"Overall, Career growth is limited and unclear.",Negative,Growth
660,"In some cases, The technology stack is a mix of old and new tools.",Neutral,Technology
661,"Overall, The technology stack is a mix of old and new tools.",Neutral,Technology
662,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
663,"Overall, Helpful perks like flexible hours and leave.",Positive,Perks
664,"In my experience, Clear opportunities to learn and advance.",Positive,Growth
665,"From my team’s perspective, Management style differs across departments.",Neutral,Management
666,"Generally speaking, Legacy systems make daily work harder.",Negative,Technology
667,"Generally speaking, The technology stack is a mix of old and new tools.",Neutral,Technology
668,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
669,"From my team’s perspective, Excellent collaboration across teams.",Positive,Culture
670,"Compared with peers, Salary is average for the industry.",Neutral,Salary
671,"At times, Learning is available, but mostly self-driven.",Neutral,Growth
672,"In some cases, Good performance bonuses and benefits.",Positive,Salary
673,"In some cases, Work culture feels stressful and inconsistent.",Negative,Culture
674,"For the most part, The technology stack is outdated and slow.",Negative,Technology
675,"Overall, Career growth is limited and unclear.",Negative,Growth
676,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
677,"From my team’s perspective, Management style differs across departments.",Neutral,Management
678,"Overall, Promotion paths are not well defined.",Negative,Growth
679,"At times, Management is approachable and supportive.",Positive,Management
680,"Generally speaking, Great work culture with supportive teammates.",Positive,Culture
681,"From my team’s perspective, Good performance bonuses and benefits.",Positive,Salary
682,"Compared with peers, Perks are minimal compared to other companies.",Negative,Perks
683,"For the most part, Career growth is limited and unclear.",Negative,Growth
684,"Compared with peers, Team morale is low in some departments.",Negative,Culture
685,"Generally speaking, Legacy systems make daily work harder.",Negative,Technology
686,"At times, Growth opportunities depend on the project.",Neutral,Growth
687,"In my experience, Promotion paths are not well defined.",Negative,Growth
688,"Compared with peers, Legacy systems make daily work harder.",Negative,Technology
689,"In my experience, Clear opportunities to learn and advance.",Positive,Growth
690,"At times, Projects use modern cloud and automation tools.",Positive,Technology
691,"For the most part, The technology stack is outdated and slow.",Negative,Technology
692,"Generally speaking, Projects use modern cloud and automation tools.",Positive,Technology
693,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
694,"Generally speaking, Projects use modern cloud and automation tools.",Positive,Technology
695,"For the most part, Work-life balance is fine most weeks.",Neutral,Culture
696,"Overall, Team morale is low in some departments.",Negative,Culture
697,"Overall, Perks are minimal compared to other companies.",Negative,Perks
698,"At times, Salary is competitive and fair.",Positive,Salary
699,"In some cases, Salary is below market expectations.",Negative,Salary
700,"Overall, Great work culture with supportive teammates.",Positive,Culture
701,"Generally speaking, Work culture varies by team.",Neutral,Culture
702,"For the most part, Good performance bonuses and benefits.",Positive,Salary
703,"Compared with peers, Compensation is acceptable for the role.",Neutral,Salary
704,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
705,"In some cases, Compensation is acceptable for the role.",Neutral,Salary
706,"For the most part, Projects use modern cloud and automation tools.",Positive,Technology
707,"In my experience, Management communication is weak.",Negative,Management
708,"In some cases, Projects use modern cloud and automation tools.",Positive,Technology
709,"Overall, Career growth is limited and unclear.",Negative,Growth
710,"Generally speaking, Perks are standard and adequate.",Neutral,Perks
711,"In some cases, Legacy systems make daily work harder.",Negative,Technology
712,"At times, Career growth is limited and unclear.",Negative,Growth
713,"From my team’s perspective, The technology stack is outdated and slow.",Negative,Technology
714,"Overall, Great work culture with supportive teammates.",Positive,Culture
715,"Overall, Compensation is acceptable for the role.",Neutral,Salary
716,"In my experience, Great work culture with supportive teammates.",Positive,Culture
717,"Overall, Team morale is low in some departments.",Negative,Culture
718,"In some cases, Salary is competitive and fair.",Positive,Salary
719,"At times, Legacy systems make daily work harder.",Negative,Technology
720,"For the most part, Salary is average for the industry.",Neutral,Salary
721,"At times, Perks are minimal compared to other companies.",Negative,Perks
722,"Compared with peers, Learning is available, but mostly self-driven.",Neutral,Growth
723,"At times, Management communication is weak.",Negative,Management
724,"At times, Modern technology stack and useful tools.",Positive,Technology
725,"Overall, Perks are minimal compared to other companies.",Negative,Perks
726,"For the most part, Promotion paths are not well defined.",Negative,Growth
727,"Generally speaking, Raises are small and infrequent.",Negative,Salary
728,"In some cases, Management is approachable and supportive.",Positive,Management
729,"In some cases, Management style differs across departments.",Neutral,Management
730,"In some cases, Perks are minimal compared to other companies.",Negative,Perks
731,"Generally speaking, Projects use modern cloud and automation tools.",Positive,Technology
732,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
733,"Generally speaking, The technology stack is a mix of old and new tools.",Neutral,Technology
734,"In some cases, Some tools are modern while others are legacy.",Neutral,Technology
735,"For the most part, Some tools are modern while others are legacy.",Neutral,Technology
736,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
737,"Generally speaking, Great work culture with supportive teammates.",Positive,Culture
738,"At times, Work culture varies by team.",Neutral,Culture
739,"Overall, Good performance bonuses and benefits.",Positive,Salary
740,"At times, Growth opportunities depend on the project.",Neutral,Growth
741,"From my team’s perspective, Management communication is weak.",Negative,Management
742,"At times, Salary is average for the industry.",Neutral,Salary
743,"Generally speaking, Work culture varies by team.",Neutral,Culture
744,"At times, Learning is available, but mostly self-driven.",Neutral,Growth
745,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
746,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
747,"From my team’s perspective, Management communication is weak.",Negative,Management
748,"Generally speaking, Projects use modern cloud and automation tools.",Positive,Technology
749,"Compared with peers, Team morale is low in some departments.",Negative,Culture
750,"Compared with peers, Management style differs across departments.",Neutral,Management
751,"At times, Promotion paths are not well defined.",Negative,Growth
752,"From my team’s perspective, Salary is average for the industry.",Neutral,Salary
753,"In some cases, Promotion paths are not well defined.",Negative,Growth
754,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
755,"At times, Clear opportunities to learn and advance.",Positive,Growth
756,"From my team’s perspective, Management communication is weak.",Negative,Management
757,"Generally speaking, Work-life balance is fine most weeks.",Neutral,Culture
758,"For the most part, Management communication is weak.",Negative,Management
759,"Generally speaking, Projects use modern cloud and automation tools.",Positive,Technology
760,"Overall, Projects use modern cloud and automation tools.",Positive,Technology
761,"Overall, Work culture feels stressful and inconsistent.",Negative,Culture
762,"For the most part, Compensation is acceptable for the role.",Neutral,Salary
763,"In my experience, Growth opportunities depend on the project.",Neutral,Growth
764,"At times, Salary is average for the industry.",Neutral,Salary
765,"Overall, Management communication is weak.",Negative,Management
766,"Generally speaking, Promotion paths are not well defined.",Negative,Growth
767,"Overall, Salary is below market expectations.",Negative,Salary
768,"Overall, Raises are small and infrequent.",Negative,Salary
769,"From my team’s perspective, Helpful perks like flexible hours and leave.",Positive,Perks
770,"For the most part, Good performance bonuses and benefits.",Positive,Salary
771,"For the most part, Great work culture with supportive teammates.",Positive,Culture
772,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
773,"In some cases, Perks are standard and adequate.",Neutral,Perks
774,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
775,"From my team’s perspective, Career growth is limited and unclear.",Negative,Growth
776,"Overall, Work culture feels stressful and inconsistent.",Negative,Culture
777,"In some cases, Good performance bonuses and benefits.",Positive,Salary
778,"Overall, Salary is below market expectations.",Negative,Salary
779,"Generally speaking, Work culture varies by team.",Neutral,Culture
780,"In my experience, Management style differs across departments.",Neutral,Management
781,"At times, Salary is average for the industry.",Neutral,Salary
782,"Generally speaking, Clear opportunities to learn and advance.",Positive,Growth
783,"From my team’s perspective, Great work culture with supportive teammates.",Positive,Culture
784,"Overall, Learning is available, but mostly self-driven.",Neutral,Growth
785,"Overall, Management is approachable and supportive.",Positive,Management
786,"For the most part, Learning is available, but mostly self-driven.",Neutral,Growth
787,"In my experience, Compensation is acceptable for the role.",Neutral,Salary
788,"At times, Clear opportunities to learn and advance.",Positive,Growth
789,"Compared with peers, Raises are small and infrequent.",Negative,Salary
790,"In my experience, Modern technology stack and useful tools.",Positive,Technology
791,"Overall, Management communication is weak.",Negative,Management
792,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
793,"In some cases, Clear opportunities to learn and advance.",Positive,Growth
794,"Overall, Management style differs across departments.",Neutral,Management
795,"Generally speaking, Team morale is low in some departments.",Negative,Culture
796,"In some cases, Projects use modern cloud and automation tools.",Positive,Technology
797,"In some cases, Promotion paths are not well defined.",Negative,Growth
798,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
799,"In my experience, Work culture varies by team.",Neutral,Culture
800,"For the most part, Good performance bonuses and benefits.",Positive,Salary
801,"Compared with peers, Management style differs across departments.",Neutral,Management
802,"From my team’s perspective, Salary is competitive and fair.",Positive,Salary
803,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
804,"In some cases, Modern technology stack and useful tools.",Positive,Technology
805,"In some cases, Legacy systems make daily work harder.",Negative,Technology
806,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
807,"Compared with peers, Promotion paths are not well defined.",Negative,Growth
808,"From my team’s perspective, Salary is average for the industry.",Neutral,Salary
809,"At times, Work culture feels stressful and inconsistent.",Negative,Culture
810,"In some cases, The technology stack is outdated and slow.",Negative,Technology
811,"From my team’s perspective, Helpful perks like flexible hours and leave.",Positive,Perks
812,"In my experience, Modern technology stack and useful tools.",Positive,Technology
813,"In some cases, Helpful perks like flexible hours and leave.",Positive,Perks
814,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
815,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
816,"Generally speaking, Career growth is limited and unclear.",Negative,Growth
817,"Overall, Helpful perks like flexible hours and leave.",Positive,Perks
818,"In some cases, Management style differs across departments.",Neutral,Management
819,"Generally speaking, Management style differs across departments.",Neutral,Management
820,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
821,"At times, Clear opportunities to learn and advance.",Positive,Growth
822,"In some cases, The technology stack is outdated and slow.",Negative,Technology
823,"Generally speaking, Perks are standard and adequate.",Neutral,Perks
824,"Compared with peers, Growth opportunities depend on the project.",Neutral,Growth
825,"Compared with peers, Good performance bonuses and benefits.",Positive,Salary
826,"At times, Clear opportunities to learn and advance.",Positive,Growth
827,"For the most part, Legacy systems make daily work harder.",Negative,Technology
828,"Overall, Legacy systems make daily work harder.",Negative,Technology
829,"At times, Work-life balance is fine most weeks.",Neutral,Culture
830,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
831,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
832,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
833,"In some cases, Modern technology stack and useful tools.",Positive,Technology
834,"Generally speaking, Work culture varies by team.",Neutral,Culture
835,"In some cases, Work-life balance is fine most weeks.",Neutral,Culture
836,"Overall, Raises are small and infrequent.",Negative,Salary
837,"In my experience, Management style differs across departments.",Neutral,Management
838,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
839,"Overall, Clear opportunities to learn and advance.",Positive,Growth
840,"Compared with peers, Raises are small and infrequent.",Negative,Salary
841,"In my experience, Compensation is acceptable for the role.",Neutral,Salary
842,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
843,"At times, Legacy systems make daily work harder.",Negative,Technology
844,"Generally speaking, Raises are small and infrequent.",Negative,Salary
845,"For the most part, Learning is available, but mostly self-driven.",Neutral,Growth
846,"Generally speaking, Salary is competitive and fair.",Positive,Salary
847,"In my experience, Good performance bonuses and benefits.",Positive,Salary
848,"Compared with peers, Modern technology stack and useful tools.",Positive,Technology
849,"At times, Excellent collaboration across teams.",Positive,Culture
850,"Generally speaking, Management communication is weak.",Negative,Management
851,"Compared with peers, Excellent collaboration across teams.",Positive,Culture
852,"In my experience, Salary is competitive and fair.",Positive,Salary
853,"In my experience, Management is approachable and supportive.",Positive,Management
854,"At times, The technology stack is outdated and slow.",Negative,Technology
855,"For the most part, Legacy systems make daily work harder.",Negative,Technology
856,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
857,"For the most part, Good performance bonuses and benefits.",Positive,Salary
858,"In some cases, Good performance bonuses and benefits.",Positive,Salary
859,"At times, Clear opportunities to learn and advance.",Positive,Growth
860,"In some cases, Raises are small and infrequent.",Negative,Salary
861,"At times, Strong learning opportunities and skill growth.",Positive,Growth
862,"In my experience, Great work culture with supportive teammates.",Positive,Culture
863,"For the most part, Some tools are modern while others are legacy.",Neutral,Technology
864,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
865,"Compared with peers, Excellent collaboration across teams.",Positive,Culture
866,"In some cases, Promotion paths are not well defined.",Negative,Growth
867,"Compared with peers, Management communication is weak.",Negative,Management
868,"For the most part, Learning is available, but mostly self-driven.",Neutral,Growth
869,"In my experience, Perks are standard and adequate.",Neutral,Perks
870,"In my experience, Management communication is weak.",Negative,Management
871,"For the most part, Great work culture with supportive teammates.",Positive,Culture
872,"In some cases, Modern technology stack and useful tools.",Positive,Technology
873,"In some cases, The technology stack is outdated and slow.",Negative,Technology
874,"For the most part, Team morale is low in some departments.",Negative,Culture
875,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
876,"Generally speaking, Management is approachable and supportive.",Positive,Management
877,"Overall, Management communication is weak.",Negative,Management
878,"In some cases, Career growth is limited and unclear.",Negative,Growth
879,"Generally speaking, Some tools are modern while others are legacy.",Neutral,Technology
880,"In some cases, Team morale is low in some departments.",Negative,Culture
881,"Generally speaking, Work-life balance is fine most weeks.",Neutral,Culture
882,"Overall, Clear opportunities to learn and advance.",Positive,Growth
883,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
884,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
885,"Generally speaking, Excellent collaboration across teams.",Positive,Culture
886,"In my experience, Work culture feels stressful and inconsistent.",Negative,Culture
887,"Compared with peers, Projects use modern cloud and automation tools.",Positive,Technology
888,"Generally speaking, Salary is below market expectations.",Negative,Salary
889,"In my experience, Raises are small and infrequent.",Negative,Salary
890,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
891,"Generally speaking, Salary is average for the industry.",Neutral,Salary
892,"Generally speaking, Great work culture with supportive teammates.",Positive,Culture
893,"At times, Work culture varies by team.",Neutral,Culture
894,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
895,"In some cases, Learning is available, but mostly self-driven.",Neutral,Growth
896,"At times, Modern technology stack and useful tools.",Positive,Technology
897,"Compared with peers, Salary is average for the industry.",Neutral,Salary
898,"For the most part, Promotion paths are not well defined.",Negative,Growth
899,"From my team’s perspective, Helpful perks like flexible hours and leave.",Positive,Perks
900,"In my experience, Legacy systems make daily work harder.",Negative,Technology
901,"Overall, Good performance bonuses and benefits.",Positive,Salary
902,"For the most part, The technology stack is a mix of old and new tools.",Neutral,Technology
903,"At times, Management is approachable and supportive.",Positive,Management
904,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
905,"In some cases, Helpful perks like flexible hours and leave.",Positive,Perks
906,"In my experience, Great work culture with supportive teammates.",Positive,Culture
907,"Compared with peers, Perks are minimal compared to other companies.",Negative,Perks
908,"Compared with peers, Team morale is low in some departments.",Negative,Culture
909,"Generally speaking, Work culture feels stressful and inconsistent.",Negative,Culture
910,"In my experience, Management communication is weak.",Negative,Management
911,"At times, Compensation is acceptable for the role.",Neutral,Salary
912,"Generally speaking, Growth opportunities depend on the project.",Neutral,Growth
913,"Compared with peers, Helpful perks like flexible hours and leave.",Positive,Perks
